# CPU: 12th Gen Intel(R) Core(TM) i5-1235U
# GPU: Intel(R) Iris(R) Xe Graphics
# Physical Cores: 10
# Logical Cores: 12
# RAM: 15,7 GB
# OS: Microsoft Windows 10.0.26100
# Test Date: 2026-01-21 19:46:34
#
Calculator,Width,Height,MaxIterations,Threads,TimeMs,ZoomLevel,Timestamp
CPU Parallel,2000,2000,1000,1,517,1,2026-01-21 19:46:35
CPU Parallel,2000,2000,1000,2,233,1,2026-01-21 19:46:35
CPU Parallel,2000,2000,1000,3,170,1,2026-01-21 19:46:35
CPU Parallel,2000,2000,1000,4,141,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,5,122,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,6,108,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,7,95,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,8,85,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,9,78,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,10,77,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,11,73,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,12,80,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,13,79,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,14,79,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,15,78,1,2026-01-21 19:46:36
CPU Parallel,2000,2000,1000,16,80,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,17,77,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,18,75,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,19,80,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,20,70,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,21,70,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,22,77,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,23,69,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,24,71,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,25,69,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,26,75,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,27,72,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,28,68,1,2026-01-21 19:46:37
CPU Parallel,2000,2000,1000,29,70,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,30,66,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,31,76,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,32,108,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,33,107,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,34,106,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,35,108,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,36,132,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,37,107,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,38,105,1,2026-01-21 19:46:38
CPU Parallel,2000,2000,1000,39,105,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,40,105,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,41,102,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,42,106,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,43,110,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,44,101,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,45,107,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,46,110,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,47,108,1,2026-01-21 19:46:39
CPU Parallel,2000,2000,1000,48,103,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,49,106,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,50,101,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,51,105,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,52,104,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,53,100,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,54,105,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,55,101,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,56,102,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,57,101,1,2026-01-21 19:46:40
CPU Parallel,2000,2000,1000,58,102,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,59,102,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,60,100,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,61,108,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,62,101,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,63,102,1,2026-01-21 19:46:41
CPU Parallel,2000,2000,1000,64,115,1,2026-01-21 19:46:41
