Timestamp,Calculator,Width,Height,Iterations,Threads,TimeMs,Zoom
2026-01-21T21:01:33.0271967+01:00,Parallel,8000,8000,500,1,10509,1,000000
2026-01-21T21:01:38.4965518+01:00,Parallel,8000,8000,500,2,5461,1,000000
2026-01-21T21:01:42.5602402+01:00,Parallel,8000,8000,500,3,4062,1,000000
2026-01-21T21:01:45.8818753+01:00,Parallel,8000,8000,500,4,3320,1,000000
2026-01-21T21:01:48.9425379+01:00,Parallel,8000,8000,500,5,3058,1,000000
2026-01-21T21:01:51.8407626+01:00,Parallel,8000,8000,500,6,2896,1,000000
2026-01-21T21:01:54.6901492+01:00,Parallel,8000,8000,500,7,2847,1,000000
2026-01-21T21:01:57.4786423+01:00,Parallel,8000,8000,500,8,2784,1,000000
2026-01-21T21:02:00.2653344+01:00,Parallel,8000,8000,500,9,2784,1,000000
2026-01-21T21:02:03.1814745+01:00,Parallel,8000,8000,500,10,2914,1,000000
2026-01-21T21:02:06.8892838+01:00,Parallel,8000,8000,500,11,3705,1,000000
2026-01-21T21:02:10.9020670+01:00,Parallel,8000,8000,500,12,4009,1,000000
2026-01-21T21:02:14.3576523+01:00,Parallel,8000,8000,500,13,3452,1,000000
2026-01-21T21:02:18.1907893+01:00,Parallel,8000,8000,500,14,3830,1,000000
2026-01-21T21:02:22.2226604+01:00,Parallel,8000,8000,500,15,4028,1,000000
2026-01-21T21:02:26.2417812+01:00,Parallel,8000,8000,500,16,4016,1,000000
2026-01-21T21:02:30.0243732+01:00,Parallel,8000,8000,500,17,3780,1,000000
2026-01-21T21:02:33.8227061+01:00,Parallel,8000,8000,500,18,3795,1,000000
2026-01-21T21:02:37.4488629+01:00,Parallel,8000,8000,500,19,3623,1,000000
2026-01-21T21:02:41.0450320+01:00,Parallel,8000,8000,500,20,3593,1,000000
2026-01-21T21:02:44.6983165+01:00,Parallel,8000,8000,500,21,3650,1,000000
2026-01-21T21:02:48.4946019+01:00,Parallel,8000,8000,500,22,3791,1,000000
2026-01-21T21:02:52.3005555+01:00,Parallel,8000,8000,500,23,3802,1,000000
2026-01-21T21:02:56.2841274+01:00,Parallel,8000,8000,500,24,3980,1,000000
2026-01-21T21:03:00.1079921+01:00,Parallel,8000,8000,500,25,3821,1,000000
2026-01-21T21:03:04.1506988+01:00,Parallel,8000,8000,500,26,4039,1,000000
2026-01-21T21:03:08.0719047+01:00,Parallel,8000,8000,500,27,3916,1,000000
2026-01-21T21:03:12.1239512+01:00,Parallel,8000,8000,500,28,4048,1,000000
2026-01-21T21:03:16.2123964+01:00,Parallel,8000,8000,500,29,4084,1,000000
2026-01-21T21:03:20.6392946+01:00,Parallel,8000,8000,500,30,4423,1,000000
2026-01-21T21:03:25.2161903+01:00,Parallel,8000,8000,500,31,4574,1,000000
2026-01-21T21:03:29.1887165+01:00,Parallel,8000,8000,500,32,3965,1,000000
2026-01-21T21:03:34.3464987+01:00,Parallel,8000,8000,500,33,5153,1,000000
2026-01-21T21:03:39.3774481+01:00,Parallel,8000,8000,500,34,5025,1,000000
2026-01-21T21:03:44.3680601+01:00,Parallel,8000,8000,500,35,4986,1,000000
2026-01-21T21:03:48.6140567+01:00,Parallel,8000,8000,500,36,4241,1,000000
2026-01-21T21:03:53.5350875+01:00,Parallel,8000,8000,500,37,4916,1,000000
2026-01-21T21:03:58.1273440+01:00,Parallel,8000,8000,500,38,4587,1,000000
2026-01-21T21:04:03.6283657+01:00,Parallel,8000,8000,500,39,5496,1,000000
2026-01-21T21:04:08.4844763+01:00,Parallel,8000,8000,500,40,4851,1,000000
2026-01-21T21:04:13.5837675+01:00,Parallel,8000,8000,500,41,5093,1,000000
2026-01-21T21:04:18.2610437+01:00,Parallel,8000,8000,500,42,4673,1,000000
2026-01-21T21:04:23.4776842+01:00,Parallel,8000,8000,500,43,5211,1,000000
2026-01-21T21:04:28.2635388+01:00,Parallel,8000,8000,500,44,4781,1,000000
2026-01-21T21:04:32.9489077+01:00,Parallel,8000,8000,500,45,4682,1,000000
2026-01-21T21:04:37.7858201+01:00,Parallel,8000,8000,500,46,4833,1,000000
2026-01-21T21:04:42.0654140+01:00,Parallel,8000,8000,500,47,4274,1,000000
2026-01-21T21:04:46.2648259+01:00,Parallel,8000,8000,500,48,4196,1,000000
2026-01-21T21:04:50.4113963+01:00,Parallel,8000,8000,500,49,4143,1,000000
2026-01-21T21:04:54.9076056+01:00,Parallel,8000,8000,500,50,4492,1,000000
2026-01-21T21:04:59.4513601+01:00,Parallel,8000,8000,500,51,4539,1,000000
2026-01-21T21:05:04.1325079+01:00,Parallel,8000,8000,500,52,4677,1,000000
2026-01-21T21:05:08.6360233+01:00,Parallel,8000,8000,500,53,4499,1,000000
2026-01-21T21:05:12.8912595+01:00,Parallel,8000,8000,500,54,4252,1,000000
2026-01-21T21:05:17.1469007+01:00,Parallel,8000,8000,500,55,4252,1,000000
2026-01-21T21:05:21.4651921+01:00,Parallel,8000,8000,500,56,4315,1,000000
2026-01-21T21:05:25.8223967+01:00,Parallel,8000,8000,500,57,4353,1,000000
2026-01-21T21:05:30.0931767+01:00,Parallel,8000,8000,500,58,4267,1,000000
2026-01-21T21:05:34.3154447+01:00,Parallel,8000,8000,500,59,4218,1,000000
2026-01-21T21:05:38.5572866+01:00,Parallel,8000,8000,500,60,4238,1,000000
2026-01-21T21:05:42.7328029+01:00,Parallel,8000,8000,500,61,4171,1,000000
2026-01-21T21:05:46.8970036+01:00,Parallel,8000,8000,500,62,4160,1,000000
2026-01-21T21:05:51.1950394+01:00,Parallel,8000,8000,500,63,4294,1,000000
2026-01-21T21:05:55.7081820+01:00,Parallel,8000,8000,500,64,4508,1,000000
